,Sample,plate,lyta,piab,pos,,,,,,,,
1,1.1,3,45,45,FALSE,,,,,,,,
2,1.2,4,NA,45,FALSE,,,,Positive ID,N times,,lyta AND piaB,
3,1.3,6,NA,45,FALSE,,,,3,6,,Y,
4,1.4,8,45,45,FALSE,,,,4,1,,,
5,1.5,9,45,45,FALSE,,,,,,,,
6,1.6,11,45,45,FALSE,,,,17,1,,,
7,2.1,1,45,45,FALSE,,,,,,,,
8,2.2,4,NA,45,FALSE,,,,33,4 of 5,,Y,
9,2.3,6,NA,45,FALSE,,,,34,1,,,
10,2.4,8,41.10924479,45,FALSE,,,,,,,,
11,2.5,9,45,45,FALSE,,,,36,1,,Y,
12,2.6,11,45,45,FALSE,,,,,,,,
13,3.1,3,28.31325888,27.56490477,TRUE,,,,40,1,,,
14,3.2,4,NA,26.09629154,NA,,,,,,,,
15,3.3,6,NA,20.07126381,NA,,,,,,,,
16,3.4,8,36.30485391,31.98089122,TRUE,,,,41,6,,Y,
17,3.5,9,21.81150012,21.22211339,TRUE,,,,42,1,,,
18,3.6,11,26.3262774,26.06272333,TRUE,,,,,,,,
19,4.1,1,45,37.03665728,FALSE,,,,43,2,,,
20,4.1,4,NA,37.03642001,NA,,,,44,1,,,
21,4.2,4,NA,45,FALSE,,,,,,,,
22,4.3,6,NA,45,FALSE,,,,45,1,,,
23,4.4,8,45,45,FALSE,,,,,,,,
24,4.5,9,45,45,FALSE,,,,55,1,,,
25,4.6,11,45,45,FALSE,,,,,,,,
26,5.1,1,45,45,FALSE,,,,62,1,,Y,
27,5.2,4,NA,45,FALSE,,,,,,,,
28,5.3,6,NA,45,FALSE,,,,63,1,,Y,
29,5.4,8,20.18755752,45,FALSE,,,,,,,,
30,5.5,9,23.41548789,45,FALSE,,,,65,1,,,
31,5.5,11,26.64993485,NA,NA,,,,,,,,"77,78,79,92,96"
32,5.6,11,NA,45,FALSE,,,,77,,,,
33,6.2,4,NA,45,FALSE,,,,,,,,
34,6.3,6,NA,45,FALSE,,,,78,,,,
35,6.4,8,22.51724163,45,FALSE,,,,,,,,
36,6.5,9,20.83686492,45,FALSE,,,,79,,,Y,
37,6.6,11,24.21144288,45,FALSE,,,,,,,,
38,7.1,1,45,40.1621349,FALSE,,,,92,,,Y,
39,7.1,4,NA,45,FALSE,,,,,,,,
40,7.2,4,NA,45,FALSE,,,,96,,,,
41,7.3,6,NA,45,FALSE,,,,,,,,
42,7.4,8,45,45,FALSE,,,,,,,,
43,7.5,9,45,45,FALSE,,,,,,,,
44,7.6,11,45,45,FALSE,,,,,,,,
45,8.1,3,45,45,FALSE,,,,,,,,
46,8.2,4,NA,45,FALSE,,,,,,,,
