"","Sample","variable","lyta","piab","pos"
"1",1.1,"Cq",45,45,FALSE
"2",1.2,"Cq",45,45,FALSE
"3",1.3,"Cq",45,45,FALSE
"4",1.4,"Cq",45,45,FALSE
"5",1.5,"Cq",45,45,FALSE
"6",1.6,"Cq",45,45,FALSE
"7",2.1,"Cq",45,45,FALSE
"8",2.2,"Cq",45,45,FALSE
"9",2.3,"Cq",45,45,FALSE
"10",2.4,"Cq",45,45,FALSE
"11",2.5,"Cq",45,45,FALSE
"12",2.6,"Cq",45,45,FALSE
"13",3.1,"Cq",28.3132588842782,27.5649047729576,TRUE
"14",3.2,"Cq",25.0650798275618,26.0962915435147,TRUE
"15",3.3,"Cq",19.7234102253835,20.0712638105098,TRUE
"16",3.4,"Cq",45,32.2529590819187,FALSE
"17",3.5,"Cq",23.0670993799938,21.9782357615276,TRUE
"18",3.6,"Cq",27.5833702183879,26.7187939421651,TRUE
"19",4.1,"Cq",45,37.0365386455085,FALSE
"20",4.2,"Cq",45,45,FALSE
"21",4.3,"Cq",45,45,FALSE
"22",4.4,"Cq",45,45,FALSE
"23",4.5,"Cq",45,45,FALSE
"24",4.6,"Cq",45,45,FALSE
"25",5.1,"Cq",45,45,FALSE
"26",5.2,"Cq",45,45,FALSE
"27",5.3,"Cq",45,45,FALSE
"28",5.4,"Cq",21.652628358987,45,FALSE
"29",5.5,"Cq",24.6903749685355,45,FALSE
"30",5.6,"Cq",28.7980333661879,45,FALSE
"31",6.2,"Cq",29.3851734014072,45,FALSE
"32",6.3,"Cq",29.5935058718457,45,FALSE
"33",6.4,"Cq",24.1040784544396,45,FALSE
"34",6.5,"Cq",22.045583140502,45,FALSE
"35",6.6,"Cq",25.2134754717604,45,FALSE
"36",7.1,"Cq",45,45,FALSE
"37",7.2,"Cq",45,45,FALSE
"38",7.3,"Cq",45,45,FALSE
"39",7.4,"Cq",45,45,FALSE
"40",7.5,"Cq",45,45,FALSE
"41",7.6,"Cq",45,45,FALSE
"42",8.1,"Cq",45,45,FALSE
"43",8.2,"Cq",45,45,FALSE
"44",8.3,"Cq",45,45,FALSE
"45",8.4,"Cq",45,45,FALSE
"46",8.5,"Cq",45,45,FALSE
"47",8.6,"Cq",45,45,FALSE
"48",9.1,"Cq",33.6282401803122,45,FALSE
"49",9.2,"Cq",45,45,FALSE
"50",9.3,"Cq",45,45,FALSE
"51",9.4,"Cq",45,45,FALSE
"52",9.5,"Cq",45,45,FALSE
"53",9.6,"Cq",45,45,FALSE
"54",10.1,"Cq",45,45,FALSE
"55",10.2,"Cq",45,45,FALSE
"56",10.3,"Cq",45,45,FALSE
"57",10.4,"Cq",45,45,FALSE
"58",10.5,"Cq",45,45,FALSE
"59",10.6,"Cq",45,45,FALSE
"60",11.1,"Cq",21.5647582630379,45,FALSE
"61",11.2,"Cq",22.7481955094564,45,FALSE
"62",11.3,"Cq",22.1916761526699,45,FALSE
"63",11.4,"Cq",24.5914040842433,45,FALSE
"64",11.5,"Cq",45,45,FALSE
"65",11.6,"Cq",45,45,FALSE
"66",12.1,"Cq",39.2593742165286,45,FALSE
"67",12.2,"Cq",38.1493932382027,45,FALSE
"68",12.3,"Cq",45,45,FALSE
"69",12.4,"Cq",45,45,FALSE
"70",12.5,"Cq",45,45,FALSE
"71",12.6,"Cq",45,45,FALSE
"72",13.1,"Cq",45,45,FALSE
"73",13.2,"Cq",45,45,FALSE
"74",13.3,"Cq",45,45,FALSE
"75",13.4,"Cq",45,45,FALSE
"76",13.5,"Cq",45,45,FALSE
"77",13.6,"Cq",45,45,FALSE
"78",14.1,"Cq",45,45,FALSE
"79",14.2,"Cq",45,45,FALSE
"80",14.3,"Cq",37.7045252100784,45,FALSE
"81",14.4,"Cq",45,45,FALSE
"82",14.5,"Cq",40.1101231346528,45,FALSE
"83",14.6,"Cq",45,45,FALSE
"84",15.1,"Cq",45,45,FALSE
"85",15.2,"Cq",45,45,FALSE
"86",15.3,"Cq",45,45,FALSE
"87",15.4,"Cq",45,45,FALSE
"88",15.5,"Cq",45,45,FALSE
"89",15.6,"Cq",45,45,FALSE
"90",16.1,"Cq",45,45,FALSE
"91",16.2,"Cq",37.0409523125154,45,FALSE
"92",16.3,"Cq",45,45,FALSE
"93",16.4,"Cq",44.4606986058463,45,FALSE
"94",16.5,"Cq",45,45,FALSE
"95",16.6,"Cq",45,45,FALSE
"96",17.1,"Cq",45,45,FALSE
"97",17.2,"Cq",45,39.4581302891079,FALSE
"98",17.3,"Cq",45,45,FALSE
"99",17.4,"Cq",40.4470182981976,45,FALSE
"100",17.5,"Cq",45,45,FALSE
"101",17.6,"Cq",45,45,FALSE
"102",18.1,"Cq",45,45,FALSE
"103",18.2,"Cq",45,45,FALSE
"104",18.3,"Cq",45,45,FALSE
"105",18.4,"Cq",45,45,FALSE
"106",18.5,"Cq",45,45,FALSE
"107",18.6,"Cq",45,45,FALSE
"108",19.1,"Cq",45,45,FALSE
"109",19.2,"Cq",45,45,FALSE
"110",19.3,"Cq",45,45,FALSE
"111",19.4,"Cq",45,45,FALSE
"112",19.5,"Cq",45,45,FALSE
"113",19.6,"Cq",45,45,FALSE
"114",20.1,"Cq",45,45,FALSE
"115",20.2,"Cq",45,45,FALSE
"116",20.3,"Cq",45,45,FALSE
"117",20.4,"Cq",45,45,FALSE
"118",20.5,"Cq",45,45,FALSE
"119",20.6,"Cq",45,45,FALSE
"120",21.1,"Cq",45,45,FALSE
"121",21.2,"Cq",45,45,FALSE
"122",21.3,"Cq",45,45,FALSE
"123",21.4,"Cq",38.9602394308567,37.5767452589152,TRUE
"124",21.5,"Cq",45,45,FALSE
"125",21.6,"Cq",45,45,FALSE
"126",22.1,"Cq",45,45,FALSE
"127",22.2,"Cq",45,45,FALSE
"128",22.3,"Cq",45,45,FALSE
"129",22.4,"Cq",45,45,FALSE
"130",22.5,"Cq",45,45,FALSE
"131",22.6,"Cq",45,45,FALSE
"132",23.1,"Cq",45,45,FALSE
"133",23.2,"Cq",45,45,FALSE
