"","Sample","variable","lyta","piab","pos"
"1","S1_1.1000000000000001","Cq",45,45,FALSE
"2","S1_1.2","Cq",45,45,FALSE
"3","S1_1.3","Cq",45,45,FALSE
"4","S1_1.4","Cq",45,45,FALSE
"5","S1_1.5","Cq",45,45,FALSE
"6","S1_1.6","Cq",45,45,FALSE
"7","S1_10.1","Cq",45,45,FALSE
"8","S1_10.2","Cq",45,45,FALSE
"9","S1_10.3","Cq",45,45,FALSE
"10","S1_10.4","Cq",45,45,FALSE
"11","S1_10.5","Cq",45,45,FALSE
"12","S1_10.6","Cq",45,45,FALSE
"13","S1_100.1","Cq",35.9908114681768,39.0612513825403,TRUE
"14","S1_100.2","Cq",36.0960754483921,45,FALSE
"15","S1_100.3","Cq",45,45,FALSE
"16","S1_100.4","Cq",45,45,FALSE
"17","S1_100.5","Cq",38.3756526299208,45,FALSE
"18","S1_100.59999999999999","Cq",37.4720068713489,45,FALSE
"19","S1_101.1","Cq",38.8406702552005,36.5356007654221,TRUE
"20","S1_101.2","Cq",38.7548910609435,39.4429792430639,TRUE
"21","S1_101.3","Cq",32.6007113483618,45,FALSE
"22","S1_101.4","Cq",35.4283348418126,45,FALSE
"23","S1_101.5","Cq",35.1236633922722,45,FALSE
"24","S1_101.59999999999999","Cq",45,45,FALSE
"25","S1_101.6","Cq",9999,45,FALSE
"26","S1_11.1","Cq",21.5647582630379,45,FALSE
"27","S1_11.2","Cq",22.7481955094564,45,FALSE
"28","S1_11.3","Cq",22.1916761526699,45,FALSE
"29","S1_11.4","Cq",24.5914040842433,45,FALSE
"30","S1_11.5","Cq",45,45,FALSE
"31","S1_11.6","Cq",45,45,FALSE
"32","S1_12.1","Cq",39.2593742165286,45,FALSE
"33","S1_12.2","Cq",38.1493932382027,45,FALSE
"34","S1_12.3","Cq",45,45,FALSE
"35","S1_12.4","Cq",45,45,FALSE
"36","S1_12.5","Cq",37.47978216,45,FALSE
"37","S1_12.6","Cq",45,45,FALSE
"38","S1_13.1","Cq",45,45,FALSE
"39","S1_13.2","Cq",36.59552103,45,FALSE
"40","S1_13.3","Cq",45,45,FALSE
"41","S1_13.4","Cq",45,45,FALSE
"42","S1_13.5","Cq",45,45,FALSE
"43","S1_13.6","Cq",45,45,FALSE
"44","S1_14.1","Cq",37.95387215,45,FALSE
"45","S1_14.2","Cq",45,45,FALSE
"46","S1_14.3","Cq",37.7045252100784,45,FALSE
"47","S1_14.4","Cq",45,45,FALSE
"48","S1_14.5","Cq",45,45,FALSE
"49","S1_14.6","Cq",45,45,FALSE
"50","S1_15.1","Cq",45,45,FALSE
"51","S1_15.2","Cq",45,45,FALSE
"52","S1_15.3","Cq",45,45,FALSE
"53","S1_15.4","Cq",45,45,FALSE
"54","S1_15.5","Cq",39.89974872,45,FALSE
"55","S1_15.6","Cq",45,45,FALSE
"56","S1_16.1","Cq",45,45,FALSE
"57","S1_16.2","Cq",37.0409523125154,45,FALSE
"58","S1_16.3","Cq",37.32073882,45,FALSE
"59","S1_16.4","Cq",45,45,FALSE
"60","S1_16.5","Cq",45,45,FALSE
"61","S1_16.6","Cq",45,45,FALSE
"62","S1_17.1","Cq",45,39.8937338158994,FALSE
"63","S1_17.2","Cq",45,38.8901203839044,FALSE
"64","S1_17.3","Cq",45,45,FALSE
"65","S1_17.4","Cq",45,45,FALSE
"66","S1_17.5","Cq",45,45,FALSE
"67","S1_17.6","Cq",45,45,FALSE
"68","S1_18.1","Cq",45,45,FALSE
"69","S1_18.2","Cq",45,45,FALSE
"70","S1_18.3","Cq",45,45,FALSE
"71","S1_18.4","Cq",45,36.62524628,FALSE
"72","S1_18.5","Cq",45,45,FALSE
"73","S1_18.6","Cq",45,45,FALSE
"74","S1_19.100000000000001","Cq",45,45,FALSE
"75","S1_19.2","Cq",45,45,FALSE
"76","S1_19.3","Cq",45,45,FALSE
"77","S1_19.4","Cq",45,39.3297003941583,FALSE
"78","S1_19.5","Cq",45,45,FALSE
"79","S1_19.6","Cq",45,45,FALSE
"80","S1_2.1","Cq",45,45,FALSE
"81","S1_2.2","Cq",38.4745879823134,45,FALSE
"82","S1_2.3","Cq",37.4302081951327,45,FALSE
"83","S1_2.4","Cq",45,45,FALSE
"84","S1_2.5","Cq",45,45,FALSE
"85","S1_2.6","Cq",45,45,FALSE
"86","S1_20.1","Cq",45,45,FALSE
"87","S1_20.2","Cq",45,45,FALSE
"88","S1_20.3","Cq",45,45,FALSE
"89","S1_20.4","Cq",45,39.2968312869104,FALSE
"90","S1_20.5","Cq",45,45,FALSE
"91","S1_20.6","Cq",45,45,FALSE
"92","S1_21.1","Cq",45,45,FALSE
"93","S1_21.2","Cq",45,45,FALSE
"94","S1_21.3","Cq",45,45,FALSE
"95","S1_21.4","Cq",35.9901190657403,37.5704632526101,TRUE
"96","S1_21.5","Cq",45,45,FALSE
"97","S1_21.6","Cq",45,45,FALSE
"98","S1_22.1","Cq",45,45,FALSE
"99","S1_22.2","Cq",45,45,FALSE
"100","S1_22.3","Cq",45,45,FALSE
"101","S1_22.4","Cq",45,45,FALSE
"102","S1_22.5","Cq",45,45,FALSE
"103","S1_22.6","Cq",45,45,FALSE
"104","S1_23.1","Cq",45,45,FALSE
"105","S1_23.2","Cq",45,45,FALSE
"106","S1_23.3","Cq",45,45,FALSE
"107","S1_23.4","Cq",45,45,FALSE
"108","S1_23.5","Cq",45,45,FALSE
"109","S1_23.6","Cq",45,45,FALSE
"110","S1_24.1","Cq",45,45,FALSE
"111","S1_24.2","Cq",45,45,FALSE
"112","S1_24.3","Cq",37.4205851,45,FALSE
"113","S1_24.4","Cq",45,45,FALSE
"114","S1_24.5","Cq",45,45,FALSE
"115","S1_24.6","Cq",45,45,FALSE
"116","S1_25.1","Cq",45,45,FALSE
"117","S1_25.2","Cq",38.716500355621,45,FALSE
"118","S1_25.3","Cq",45,45,FALSE
"119","S1_25.4","Cq",45,45,FALSE
"120","S1_25.5","Cq",45,45,FALSE
"121","S1_25.6","Cq",45,45,FALSE
"122","S1_26.1","Cq",45,45,FALSE
"123","S1_26.2","Cq",37.0017576358758,45,FALSE
"124","S1_26.3","Cq",38.4276408411643,45,FALSE
"125","S1_26.4","Cq",45,45,FALSE
"126","S1_26.5","Cq",45,45,FALSE
"127","S1_26.6","Cq",45,45,FALSE
"128","S1_27.1","Cq",45,45,FALSE
"129","S1_27.2","Cq",45,45,FALSE
"130","S1_27.3","Cq",45,45,FALSE
"131","S1_27.4","Cq",45,45,FALSE
"132","S1_27.5","Cq",45,45,FALSE
"133","S1_27.6","Cq",45,45,FALSE
"134","S1_28.1","Cq",22.1766692607417,45,FALSE
"135","S1_28.2","Cq",26.3403484881413,45,FALSE
"136","S1_28.3","Cq",23.5903075463299,45,FALSE
"137","S1_28.4","Cq",25.8095156880442,45,FALSE
"138","S1_28.5","Cq",24.1616581389243,45,FALSE
"139","S1_28.6","Cq",25.3079150524217,45,FALSE
"140","S1_29.1","Cq",24.2455652392519,45,FALSE
"141","S1_29.2","Cq",21.6027603181027,45,FALSE
"142","S1_29.3","Cq",27.7110905209066,45,FALSE
"143","S1_29.4","Cq",26.0112651807349,39.0307163760368,TRUE
"144","S1_29.5","Cq",25.9547643608801,45,FALSE
"145","S1_29.6","Cq",28.7255329411526,45,FALSE
"146","S1_3.1","Cq",28.3132588842782,27.5649047729576,TRUE
"147","S1_3.2","Cq",25.0650798275618,26.0962915435147,TRUE
"148","S1_3.3","Cq",19.7234102253835,20.0712638105098,TRUE
"149","S1_3.4","Cq",33.234796912035,32.2529590819187,TRUE
"150","S1_3.5","Cq",23.0670993799938,21.9782357615276,TRUE
"151","S1_3.6","Cq",27.5833702183879,26.7187939421651,TRUE
"152","S1_30.1","Cq",45,45,FALSE
"153","S1_30.2","Cq",45,45,FALSE
"154","S1_30.3","Cq",45,45,FALSE
"155","S1_30.4","Cq",45,45,FALSE
"156","S1_30.5","Cq",45,45,FALSE
"157","S1_30.6","Cq",45,45,FALSE
"158","S1_31.1","Cq",45,45,FALSE
"159","S1_31.2","Cq",45,45,FALSE
"160","S1_31.3","Cq",45,45,FALSE
"161","S1_31.4","Cq",45,45,FALSE
"162","S1_31.5","Cq",45,45,FALSE
