"","Sample","Target","1","2","3","4","5","6"
"1","S1_1.1000000000000001","lyta",45,NA,NA,NA,NA,NA
"2","S1_1.1000000000000001","piab",45,NA,NA,NA,NA,NA
"3","S1_1.2","lyta",45,NA,NA,NA,NA,NA
"4","S1_1.2","piab",45,NA,NA,NA,NA,NA
"5","S1_1.3","lyta",45,45,NA,NA,NA,NA
"6","S1_1.3","piab",45,NA,NA,NA,NA,NA
"7","S1_1.4","lyta",45,NA,NA,NA,NA,NA
"8","S1_1.4","piab",45,NA,NA,NA,NA,NA
"9","S1_1.5","lyta",45,NA,NA,NA,NA,NA
"10","S1_1.5","piab",45,NA,NA,NA,NA,NA
"11","S1_1.6","lyta",45,NA,NA,NA,NA,NA
"12","S1_1.6","piab",45,NA,NA,NA,NA,NA
"13","S1_10.1","lyta",45,NA,NA,NA,NA,NA
"14","S1_10.1","piab",45,NA,NA,NA,NA,NA
"15","S1_10.2","lyta",45,NA,NA,NA,NA,NA
"16","S1_10.2","piab",45,NA,NA,NA,NA,NA
"17","S1_10.3","lyta",45,45,NA,NA,NA,NA
"18","S1_10.3","piab",45,NA,NA,NA,NA,NA
"19","S1_10.4","lyta",45,NA,NA,NA,NA,NA
"20","S1_10.4","piab",45,45,NA,NA,NA,NA
"21","S1_10.5","lyta",45,NA,NA,NA,NA,NA
"22","S1_10.5","piab",45,NA,NA,NA,NA,NA
"23","S1_10.6","lyta",45,NA,NA,NA,NA,NA
"24","S1_10.6","piab",45,NA,NA,NA,NA,NA
"25","S1_100.1","lyta",35.9908114681768,NA,NA,NA,NA,NA
"26","S1_100.1","piab",39.0612513825403,45,45,NA,NA,NA
"27","S1_100.2","lyta",35.3054097894487,36.8867411073354,NA,NA,NA,NA
"28","S1_100.2","piab",45,45,45,NA,NA,NA
"29","S1_100.3","lyta",45,45,NA,NA,NA,NA
"30","S1_100.3","piab",45,45,45,NA,NA,NA
"31","S1_100.4","lyta",40.78765541,45,45,NA,NA,NA
"32","S1_100.4","piab",45,45,NA,NA,NA,NA
"33","S1_100.5","lyta",38.3756526299208,38.3756526299208,NA,NA,NA,NA
"34","S1_100.5","piab",45,45,NA,NA,NA,NA
