"","Sample","plate","lyta","piab","pos"
"1",1.2,4,NA,45,FALSE
"2",1.2,5,45,NA,FALSE
"3",1.3,8,NA,45,FALSE
"4",1.3,9,45,NA,FALSE
"5",1.4,13,45,45,FALSE
"6",1.5,15,45,45,FALSE
"7",1.6,17,45,45,FALSE
"8",2.1,1,45,45,FALSE
"9",2.2,4,NA,45,FALSE
"10",2.2,5,38.4745879823134,NA,NA
"11",2.3,8,NA,45,FALSE
"12",2.3,9,45,NA,FALSE
"13",2.4,13,45,45,FALSE
"14",2.5,15,45,45,FALSE
"15",2.6,17,45,45,FALSE
"16",3.2,4,NA,26.0962915435147,NA
"17",3.2,5,25.0650798275618,NA,NA
"18",3.3,8,NA,20.0712638105098,NA
"19",3.3,9,21.2552040987865,NA,NA
"20",3.4,13,45,33.2800355472053,FALSE
"21",3.5,15,23.0670993799938,21.9782357615276,TRUE
"22",3.6,17,27.5833702183879,26.7187939421651,TRUE
"23",4.1,1,45,37.0366572789192,FALSE
"24",4.1,4,NA,37.0364200120978,NA
"25",4.1,5,45,NA,FALSE
"26",4.1,9,27.4314497332336,NA,NA
"27",4.2,4,NA,45,FALSE
"28",4.2,5,45,NA,FALSE
"29",4.3,8,NA,45,FALSE
"30",4.3,9,45,NA,FALSE
"31",4.4,13,45,45,FALSE
"32",4.5,15,45,45,FALSE
"33",4.6,17,45,45,FALSE
"34",5.1,1,45,45,FALSE
"35",5.2,4,NA,45,FALSE
"36",5.2,5,45,NA,FALSE
"37",5.3,8,NA,45,FALSE
"38",5.3,9,45,NA,FALSE
"39",5.4,13,21.652628358987,45,FALSE
"40",5.5,15,24.6903749685355,45,FALSE
"41",5.5,17,27.5355735361832,NA,NA
"42",5.6,17,NA,45,FALSE
"43",6.2,4,NA,45,FALSE
"44",6.2,5,29.3851734014072,NA,NA
"45",6.3,8,NA,45,FALSE
"46",6.3,9,30.2699426466838,NA,NA
"47",6.4,13,24.1040784544396,45,FALSE
"48",6.5,15,22.045583140502,45,FALSE
"49",6.6,17,25.2134754717604,45,FALSE
"50",7.1,1,45,40.1621348986912,FALSE
"51",7.1,4,NA,45,FALSE
"52",7.1,5,45,NA,FALSE
"53",7.1,9,45,NA,FALSE
"54",7.2,4,NA,45,FALSE
"55",7.2,5,45,NA,FALSE
"56",7.3,8,NA,45,FALSE
"57",7.3,9,45,NA,FALSE
"58",7.4,13,45,45,FALSE
"59",7.5,15,45,45,FALSE
"60",7.6,17,45,45,FALSE
"61",8.2,4,NA,45,FALSE
"62",8.2,5,45,NA,FALSE
"63",8.3,8,NA,45,FALSE
"64",8.3,9,45,NA,FALSE
"65",8.4,13,45,45,FALSE
"66",8.5,15,45,45,FALSE
"67",8.6,17,45,45,FALSE
"68",9.1,1,33.6282401803122,45,FALSE
"69",9.2,4,NA,45,FALSE
"70",9.2,5,45,NA,FALSE
"71",9.3,8,NA,45,FALSE
"72",9.3,9,45,NA,FALSE
"73",9.4,13,45,45,FALSE
"74",9.5,15,45,45,FALSE
"75",9.6,17,45,45,FALSE
"76",10.1,1,45,45,FALSE
"77",10.2,4,NA,45,FALSE
"78",10.2,5,45,NA,FALSE
"79",10.3,8,NA,45,FALSE
"80",10.3,9,45,NA,FALSE
"81",10.4,13,NA,45,FALSE
"82",10.5,15,45,45,FALSE
"83",10.6,17,45,45,FALSE
"84",11.1,1,21.5647582630379,45,FALSE
"85",11.2,4,NA,45,FALSE
"86",11.2,5,22.7481955094564,NA,NA
"87",11.3,8,NA,45,FALSE
"88",11.3,9,20.2569763920983,NA,NA
"89",11.4,13,24.5914040842433,45,FALSE
"90",11.5,15,45,45,FALSE
"91",11.6,17,45,45,FALSE
"92",12.1,1,39.2593742165286,45,FALSE
"93",12.2,4,NA,45,FALSE
"94",12.2,5,38.256968245671,NA,NA
"95",12.3,8,NA,45,FALSE
"96",12.3,9,45,NA,FALSE
"97",12.3,13,45,45,FALSE
"98",12.5,15,45,45,FALSE
"99",12.6,17,45,45,FALSE
"100",13.1,1,45,45,FALSE
"101",13.2,4,NA,45,FALSE
"102",13.2,5,45,NA,FALSE
"103",13.3,8,NA,45,FALSE
"104",13.3,9,45,NA,FALSE
"105",13.4,13,45,45,FALSE
"106",13.5,15,45,45,FALSE
"107",13.6,17,45,45,FALSE
"108",14.1,1,45,45,FALSE
"109",14.2,4,NA,45,FALSE
"110",14.2,5,45,NA,FALSE
"111",14.3,8,NA,45,FALSE
"112",14.3,9,45,NA,FALSE
"113",14.4,13,45,45,FALSE
"114",14.5,16,40.1101231346528,45,FALSE
"115",14.6,17,45,45,FALSE
"116",15.1,1,45,45,FALSE
"117",15.2,4,NA,45,FALSE
"118",15.2,5,45,NA,FALSE
"119",15.3,8,NA,45,FALSE
"120",15.3,9,45,NA,FALSE
"121",15.4,13,45,45,FALSE
"122",15.5,16,45,45,FALSE
"123",15.6,17,45,45,FALSE
"124",16.1,1,45,45,FALSE
"125",16.2,4,NA,45,FALSE
"126",16.2,5,37.0409523125154,NA,NA
"127",16.3,8,NA,45,FALSE
"128",16.3,9,45,NA,FALSE
"129",16.4,14,44.4606986058463,NA,FALSE
"130",16.5,16,45,45,FALSE
"131",16.6,17,45,45,FALSE
