,st_merge,serotype,probability_pos,,Pool 1,Pool 2,Pool 3,pool 4,Pool 5,Pool 6,Pool 7
6,13,13,NA,,,,,,,,
34,34,34,NA,,,,,,,,
11,17A,17A,NA,,,,,,,,
22,23A,23A,NA,,,,,,,,
28,28A,28A,NA,,,,,,,,
37,35B,35B,NA,,,,,,,,
38,35D,35D,NA,,,,,,,,
55,MISS,MISS,NA,,,,,,,,
56,NT,NT,NA,,,,,,,,
1,1,1,1,,,,,,,,
18,2,2,1,,,,,,,,
29,3,3,1,,,,,,,,
49,8,8,1,,,,,,,,
7,14,14,1,,,,,,,,
40,38,38,1,,,,,,,,
4,11A/D/B/C/F,11A,1,,,,,,,,
10,16F,16F,1,,,,,,,,
16,19A/F,19A,1,,,,,,,,
15,19A/F,19F,1,,,,,,,,
23,23B/F,23B,1,,,,,,,,
24,23B/F,23F,1,,,,,,,,
31,32A/F,32A/F,1,,,,,,,,
32,33B/D/C,33B/D/C,1,,,,,,,,
43,6A/C/D,6A/C,1,,,,1,1,,,
44,6A/C/D,6B,1,,,,1,1,,,
45,6A/C/D,6D,1,,,,1,1,,,
47,7B/C/40,7B,1,,,,,,,,
46,7B/C/40,7C,1,,,,,,,,
50,9A/V,9V,1,,,,,,,,
8,15A/F,15A,0.58715213,,,,,,,,
9,15B/C,15B/C,0.404384134,,,1,1,1,,,
30,31,31,0.385252469,,,,,,,,
33,33F/A,33F,0.31102444,,,,,,,,
20,21,21,0.240907699,,,,,,,,
21,22F/A,22F,0.1774494,,,,,,,,
19,20,20,0.104954749,,,,,,,,
39,37,37,0.096916434,,,,,,,,
36,35A/C/F/47F,35F,0.064427392,,,,,,,1,
12,17F,17F,0.05896538,,1,,,1,1,1,1
14,18A/B/C/F,18C,0.050486589,,,,,,,,
13,18A/B/C/F,18A,0.044119055,,,,,,,,
48,7F/A,7F,0.029622565,,,,,,,,
41,4,4,0.024587056,,1,1,1,1,1,1,1
3,10A/B/F/C,10A,0.023644222,,,,,1,1,,
5,12A/46/B/F/44,12F,0.023118012,,,,1,,,,
51,9N/L,9N,0.021522915,,1,,,,,,
26,24A/B/F,24A/B/F,0.020634392,,,,1,,1,1,1
52,9N/L,9L,0.017073377,,1,,,1,,,
42,5,5,0.011427275,,,,,1,,,
2,10A/B/F/C,10F,0.006807751,,1,,1,1,1,1,1
35,35A/C/F/47F,35A,0.00361485,,,,1,,1,1,
27,25A/F,25A/F,0.00347326,,,,,,,,
25,24A/B/F,24B,0.002302456,,,,,,1,1,
53,auto,auto,0.000696587,,,,,,,,
57,ply,ply,0.000497662,,,,,,,,
17,19B/C,19B/C,0.000151515,,,,1,,1,,1
54,CpsA,CpsA,0.000151515,,,,,,,,
